"","x"
"1",0.820888974135542
"2",0.448382298089934
"3",0.630750592543967
"4",0.473233810566135
"5",0.740872734317875
"6",0.62684277029598
"7",0.871044877374818
"8",0.842048645679137
"9",0.42633509131398
"10",0.737340522782128
"11",0.758077459951027
"12",0.461918537302798
"13",0.888593364893772
"14",0.583025215575637
"15",0.589246323374332
"16",0.676724142718972
"17",0.253679566158462
"18",0.513445292369838
"19",0.877921798895788
"20",0.69578572758671
"21",0.62107230587135
"22",0.573078706574795
"23",0.713788847189648
"24",0.645835903388412
"25",0.875880996508565
"26",0.688175638842909
"27",0.889346502371269
"28",0.885334013738941
"29",0.805678570953469
"30",0.615130824505703
"31",0.784094525224846
"32",0.717720341635575
"33",0.521096284164341
"34",0.738654910337578
"35",0.410866650824474
"36",0.503845462360102
"37",0.858902654222544
"38",0.787363167987111
"39",0.637271625361328
"40",0.877382235071332
"41",0.693535728203144
"42",0.627375714904219
"43",0.813902772116296
"44",0.886732807780265
"45",0.802725810978406
"46",0.716887496830964
"47",0.745678057211981
"48",0.895598488222092
"49",0.703166096377426
"50",0.840223706708346
"51",0.840026675276
"52",0.539411645580882
"53",0.831193117324085
"54",0.628282449716743
"55",0.5
"56",0.294226025853661
"57",0.802818148327081
"58",0.741915336576022
"59",0.535353853597269
"60",0.682364830992566
"61",0.835539551736255
"62",0.604287742558956
"63",0.511056734116033
"64",0.819881608854647
"65",0.560054528106531
"66",0.79660308026825
"67",0.860593504574371
"68",0.742581645282304
"69",0.664766404962978
"70",0.526583950294715
"71",0.331191930371099
"72",0.788724756366401
"73",0.49859128009371
"74",0.810355636494381
"75",0.490631709949295
"76",0.533463374135878
"77",0.408646363805542
"78",0.321454270419475
"79",0.487680335139772
"80",0.740893235106988
"81",0.456902426817822
"82",0.405401606004257
"83",0.509824976825697
"84",0.521859164354145
"85",0.61944198572774
"86",0.580005016211821
"87",0.86338261995294
"88",0.890962798856742
"89",0.560971742035908
"90",0.849604316494087
"91",0.856197204302505
"92",0.431563118558649
"93",0.3053083536374
"94",0.760123438997341
"95",0.734910459214637
"96",0.867082482947928
"97",0.788707891771468
"98",0.73329000042553
"99",0.5
"100",0.646391161398075
"101",0.440324710301816
"102",0.86157942701321
"103",0.287916645323798
"104",0.750098252173786
"105",0.671264530333669
"106",0.80347845237332
"107",0.505372278751394
"108",0.568950650350921
"109",0.650122094359835
"110",0.791119773956687
"111",0.187617303091216
"112",0.886380955537831
"113",0.822647560572748
"114",0.84515697433233
"115",0.565424314145622
"116",0.8175259539844
"117",0.746515412608527
"118",0.748406630238906
"119",0.861557122782438
"120",0.879170103629024
"121",0.862098992126472
"122",0.5
"123",0.635538499685567
